Winery,ABC #,Year,2022     BOY Inventory,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals,Monthly Avg.,Months Left,Tasting Room EOY,Remaining Inventory,Year_1,Wine,BOY Inventory,Bottling
Pearmund,VSH,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,2022,Viognier Shiners,0,42
Pearmund,57630,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,342,2022,Chardonnay,0,342
Pearmund,196808,2022,,0,0,67,34,39,22,24,8,0,0,0,0,194,16,0,,0,2022,12 Pearls Chardonnay,0,194
Pearmund,196809,2022,,0,0,11,33,0,0,0,0,0,0,0,0,44,4,0,,0,2022,Chardonnay - SS,0,44
Pearmund,196810,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56,2022,Chardonnay Shiners,0,56
Pearmund,111575,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,336,2022,Rose,0,336
Pearmund,CLW22,2022,,0,0,0,6,13,4,2,5,0,0,0,0,30,3,30,,76,2022,Clearly White,0,106
Pearmund,CLRS22,2022,,0,0,0,3,7,7,4,14,0,0,0,0,35,3,25,,73,2022,Clearly Rose,0,108
Pearmund,CLSG22,2022,,0,0,0,0,12,10,7,7,0,0,0,0,36,3,24,,73,2022,Clearly Sangria,0,109
Pearmund,133688,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Cab Sauv Reserve,0,0
Pearmund,133687,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Ameritage ,0,0
Pearmund,135370,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,PVR,0,0
Pearmund,27736,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Black Ops,0,0
Pearmund,34641,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,AMR,0,0
Pearmund,RWS22,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Red wine Shiners,0,0
Pearmund,135371,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Sparlking,0,0
Pearmund,168932,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,10th Mission,Black Ops,0,0
Pearmund,SPRKLG22,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,Sparkling,0,0
Pearmund,22RS,2022,,0,0,0,5,3,0,9,5,0,0,0,0,22,2,39,,71,2022,Rose Shiners,0,93
